categoria,subcategoria,clase,autor,titulo,edicion,ciudad,anio,editorial,pagina,ilustrador,isbn,cantidad,estado,ubicacion,revisar,notas_revision,texto_original
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-11,"WOOTTON, Steven",NUTRICIÓN Y DEPORTE,,Zaragosza,1990,acribia,236,,84-200-0676-9,1,B,Biblioteca,False,,"WOOTTON. Steven. NUTRICIÓN Y DEPORTE. Zaragosza, 1990. Editorial acribia. S.A. Pag. 236. ISBN. 84-200-0676-9."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-12,"BENENZON, Rolando O",MUSICOTERAPIA DE LA TEORÍA A LA PRACTICA . Ediciones paidos iberica,,Barcelona,2000,paidos,285,Ferran Cartes,84-493-0936-0,1,B,Biblioteca,False,,"BENENZON. Rolando O. MUSICOTERAPIA DE LA TEORÍA A LA PRACTICA . Ediciones paidos iberica. Barcelona, 2000. Editorial paidos. SAICF. Pag. 285. Ilus. Ferran Cartes. ISBN. 84-493-0936-0."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-13,"BERG, Insoo kim",Inso.TRABAJANDO CON EL PROBLEMA DEL ALCOHOL ORIENTACIONES Y SUGERENCIAS PARA LA TERAPIA BREVE DE FAMILIA,1,Barcelona,2002,gedisa,286,,84-7432-596-7,1,B,Biblioteca,False,,"BERG. Insoo kim. Inso.TRABAJANDO CON EL PROBLEMA DEL ALCOHOL ORIENTACIONES Y SUGERENCIAS PARA LA TERAPIA BREVE DE FAMILIA. 1 Edicion. Barcelona, 2002. Editorial gedisa. Pag286. ISBN84-7432-596-7."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-14,"FREUD, Sigmund",LA HISTERIA,1,Madrid,2002,,239,Eugenio GranellISBN,84-206-7239-4,1,B,Biblioteca,False,,"FREUD. Sigmund. LA HISTERIA. Primera edicion. Madrid,2002. Alianza ediotrial. Pag. 239. Ilus. Eugenio GranellISBN. 84-206-7239-4"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-15,"BOLTON, Patrick",AUTISMO UNA GUÍA PARA PADRES,1,Madrid,1998,Pag150,150,,84-206-5728-X,1,B,Biblioteca,False,,"BOLTON. Patrick. AUTISMO UNA GUÍA PARA PADRES. Primera edicion. Madrid,1998. Analiza editorial. Pag150. ISBN84-206-5728-X"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-16,"HAPEE, Francesca",INTRODUCCION AL AUTISMO,,Madrid,1998,,223,,84-206-2905-7,1,B,Biblioteca,False,,"HAPEE. Francesca. INTRODUCCION AL AUTISMO. Madrid,1998. Alianza ediotorial. Pag. 223. ISBN. 84-206-2905-7."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-17,"DOLTO, Francoise",LA DIFICULTAD DE VIVIR,1,Barcelona,2000,gedisa,168,Sergio Manela,84-7432-159-X,1,B,Biblioteca,False,,"DOLTO. Francoise. LA DIFICULTAD DE VIVIR. Primera edicion. Barcelona,2000. Editorial gedisa. Pag. 168. Vol. I. Ilus. Sergio Manela. ISBN. 84-7432-159-X"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-18,"STIERLIN, Helm",TERAPIA DE FAMILIA,3,Barcelona,1999,gedisa,316,Carlos Rolando,84-7432-125-5,1,B,Biblioteca,False,,"STIERLIN. Helm. TERAPIA DE FAMILIA. 3°a Edicion. Barcelona,1999. Editorial gedisa. Pag. 316. Ilus. Carlos Rolando. ISBN. 84-7432-125-5."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-19,"LEMOINE, Gennie Y Paul",TEORÍA DEL PSICODRAMA. Segunda edicion,,Barcelona,1996,gedisa,338,Rolando Memesdorf,84-7432-077-1,1,B,Biblioteca,False,,"LEMOINE. Gennie Y Paul. TEORÍA DEL PSICODRAMA. Segunda edicion. Barcelona,1996. Editorial gedisa. Pag. 338. Ilus. Rolando Memesdorf. ISBN. 84-7432-077-1"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-20,"STIERLIN, Helm",¿QUE HAY DETRÁS DE LA PUERTA DE LA FAMILIA?. Segunda edicion,,Barcelona,1997,gedisa,220,Gustavo Macri,84-7432-392-4,1,B,Biblioteca,False,,"STIERLIN. Helm. ¿QUE HAY DETRÁS DE LA PUERTA DE LA FAMILIA?. Segunda edicion. Barcelona,1997. Editorial gedisa. Pag. 220. Ilus. Gustavo Macri. ISBN. 84-7432-392-4"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-21,"CUNNINGHAM, Cliff",EL SÍNDROME DE DOWN UNA INTRODUCCIÓN PARA PADRES. Edicion paidos iberica,,Barcelaona,1999,pidos iberica,229,Julio Vivas,84-7509-612-3,1,B,Biblioteca,False,,"CUNNINGHAM. Cliff. EL SÍNDROME DE DOWN UNA INTRODUCCIÓN PARA PADRES. Edicion paidos iberica. Barcelaona,1999. Editorial pidos iberica. Pag. 229. Ilus. Julio Vivas. ISBN. 84-7509-612-3."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-22,"DOLTO, Francoise",LA DIFICULTAD DE VIVIR 2. PSICOANÁLISIS Y SOCIEDAD. Segunda edicion,,Barcelona,1997,gedisa,221,,84-7432-160-3,1,B,Biblioteca,False,,"DOLTO. Francoise. LA DIFICULTAD DE VIVIR 2. PSICOANÁLISIS Y SOCIEDAD. Segunda edicion. Barcelona,1997. Editorial gedisa. Pag. 221. ISBN. 84-7432-160-3."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-23,"FERRO, Betty F",CONTABILIDAD PARA TODOS. Santafe de,,Bogota,2000,printer latinoamericana,319,Edgar Caballero,958-28-1099-8,1,B,Biblioteca,False,,"FERRO. Betty F. CONTABILIDAD PARA TODOS. Santafe de Bogota,2000. Editorial printer latinoamericana. Pag. 319. Ilus. Edgar Caballero. ISBN. 958-28-1099-8"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-24,"BONO, Edward",DEAS PARA PROFESIONALES QUE PIENSAN. Edicion paidos iberica,,Barcelona,2000,paidos SAICF,420,,84-493-0997-2,1,B,Biblioteca,False,,"BONO. Edward. DEAS PARA PROFESIONALES QUE PIENSAN. Edicion paidos iberica. Barcelona,2000. Editorial paidos SAICF. Pag420. ISBN84-493-0997-2"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-25,"ACLAND, Andrew F",COMO UTILIZAR LA MEDIACIÓN PARA RESOLVER CONFLICTOS EN LAS ORGANIZACIONES,1,Barcelona,1993,,334,Victor Viano,84-7509-845-2,1,B,Biblioteca,False,,"ACLAND. Andrew F. COMO UTILIZAR LA MEDIACIÓN PARA RESOLVER CONFLICTOS EN LAS ORGANIZACIONES. 1 edicion. Barcelona, 1993. Ediotrial paidos. SAICF. Pag. 334. Ilus. Victor Viano. ISBN. 84-7509-845-2"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-26,"SANTANA, Gerardo",PLANIFICACIÓN Y CONTROL DE PROYECTOS. Tercera edicion. Santafe de Bogotafe de,,Bogota,1999,ltda,168,,958-9121-07-1,1,B,Biblioteca,False,,"SANTANA. Gerardo. PLANIFICACIÓN Y CONTROL DE PROYECTOS. Tercera edicion. Santafe de Bogotafe de Bogota,1999. Rojas eberhard editorial ltda. Pag. 168. Ilus.Diseño Tremens. ISBN. 958-9121-07-1."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-27,"SERNA G, Humberto",GERENCIA ESTRATÉGICA PLANEACIÓN Y GESTIÓN- TEORÍA Y METODOLOGÍA. Septima edicion,,Bogota,2000,3R Editores ltda,385,ISBN,958-96137-7-2,1,B,Biblioteca,False,,"SERNA G. Humberto. GERENCIA ESTRATÉGICA PLANEACIÓN Y GESTIÓN- TEORÍA Y METODOLOGÍA. Septima edicion. Bogota,2000. Editorial 3R Editores ltda. Pag. 385. Ilus. ISBN. 958-96137-7-2"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-28,"BELTRAN J, Jesus M",INDICADORES DE GESTIÓN HERRAMIENTAS PARA LOGRAR LA COMPETITIVIDAD,2,Bogota,2000,3R editores ltda,147,,958-8017-00-9,1,B,Biblioteca,False,,"BELTRAN J. Jesus M. INDICADORES DE GESTIÓN HERRAMIENTAS PARA LOGRAR LA COMPETITIVIDAD. 2° Edicion. Santafe de Bogota,2000. Editorial 3R editores ltda. Pag. 147. ISBN. 958-8017-00-9."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-29,"NOSSAL, Gustavo",LOS LÍMITES DE LA MANIPULACIÓN GENÉTICA. Segunda edicion,,Barcelona,1997,gedisa,195,Julio Vivas,84-7432-314-2,1,B,Biblioteca,False,,"NOSSAL. Gustavo. LOS LÍMITES DE LA MANIPULACIÓN GENÉTICA. Segunda edicion. Barcelona,1997. Editorial gedisa. Pag. 195. Ilus. Julio Vivas. ISBN. 84-7432-314-2"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-30,"HOWAM, Mae",INGENIERÍA GENÉTICA: ¿SUEÑO O PESADILLA?,1,Barcelona,2001,,380,,84-7432-743-1,1,B,Biblioteca,False,,"HOWAM . Mae. INGENIERÍA GENÉTICA: ¿SUEÑO O PESADILLA?. Primera edicion. Barcelona,2001. Ediotrial gedisa. Pag. 380. Ilus, Juan Santana. ISBN. 84-7432-743-1"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-31,"WEARING, Robert",CARPINTERÍA CREATIVA. Edicion ceac,,Barcelona,1999,"ceac, S",190,Victor Viano ISBN84-329-7517-6,84-329-7517-6,1,B,Biblioteca,False,,"WEARING. Robert. CARPINTERÍA CREATIVA. Edicion ceac. Barcelona, 1999. Editorial ceac, S.A. Pag. 190. Ilus. Victor Viano ISBN84-329-7517-6."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-32,"KANDINSKI, Vassily",KANDINSKY DE LO ESPIRITUAL EN EL ARTE,1,Barcelona,1996,estetica 24,116,Mario Eskenazi,84-493-0315-X,1,B,Biblioteca,False,,"KANDINSKI. Vassily. KANDINSKY DE LO ESPIRITUAL EN EL ARTE. 1 Edicion. Barcelona, 1996. Editorial estetica 24. Pag. 116. Ilus. Mario Eskenazi. ISBN. 84-493-0315-X."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-33,"BACHELARD, Gaston",EL DERECHO DE SOÑAR,3,Bogota,1998,fondo de cultura economica,252,,958-9093-76-0,1,B,Biblioteca,False,,BACHELARD. Gaston. EL DERECHO DE SOÑAR. 3 Edicion. Santa fe de Bogota. 1998. Editorial fondo de cultura economica. Pag 252.. ISBN958-9093-76-0.
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-34,"ARNHEIM, Rudolf",CONSIDERACIONES SOBRE LA EDUCACIÓN ARTÍSTICA,1,Barcelona,1999,paidos estetica 22,90,,84-7509-877-0,1,B,Biblioteca,False,,"ARNHEIM. Rudolf. CONSIDERACIONES SOBRE LA EDUCACIÓN ARTÍSTICA. 1 Edicion. Barcelona, 1999. Editorial paidos estetica 22. Pag. 90. Eskenazi Asociados. ISBN. 84-7509-877-0."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-35,"VILLALBA, Maria",¡VAMOS AL MUSEO! GUÍAS Y RECURSOS PARA VISITAR LOS MUSEOS,,Madrid,1998,narcea,126,Fernando Garcia,84-227-1227-8,1,B,Biblioteca,False,,"VILLALBA. Maria. ¡VAMOS AL MUSEO! GUÍAS Y RECURSOS PARA VISITAR LOS MUSEOS. Madrid, 1998. Editorial narcea. Pag. 126. Ilus. Fernando Garcia. ISBN. 84-227-1227-8."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-36,"PRESEDO, Francisco",EL ARTE DEL ANTIGUO EGIPTO BIBLIOTECA BÁSICA DE ARTE,2,Madrid,2001,anaya,96,Carlos Alvarez,84-207-3536-1,1,B,Biblioteca,False,,"PRESEDO. Francisco. EL ARTE DEL ANTIGUO EGIPTO BIBLIOTECA BÁSICA DE ARTE. 2 Edicion. Madrid, 2001. Editorial anaya. Pag. 96. Ilus. Carlos Alvarez. ISBN. 84-207-3536-1."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-37,"PORRAS B, Elizabeth",ORIGAMI FANTASÍAS DE PAPEL. Santa fe de,,Bogota,1994,magisterio,92,Freddy Espinosa,958-20-0061-9,1,B,Biblioteca,False,,"PORRAS B. Elizabeth. ORIGAMI FANTASÍAS DE PAPEL. Santa fe de Bogota, 1994. Editorial magisterio. Pag. 92. Ilus. Freddy Espinosa. ISBN. 958-20-0061-9."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-38,"PEÑA R, Jorge",FACIL DIBUJAR EXPRESIÓN ARTÍSTICA DESARROLLO DE COMPETENCIAS Y CREATIVIDAD,1,Bogota,1999,magisterio,163,Jorge Peña,958-20-0551-3,1,B,Biblioteca,False,,"PEÑA R. Jorge. FACIL DIBUJAR EXPRESIÓN ARTÍSTICA DESARROLLO DE COMPETENCIAS Y CREATIVIDAD. 1 Edicion. Santa fe de Bogota, 1999. Editorial magisterio. Pag. 163 Ilus. Jorge Peña. ISBN. 958-20-0551-3."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-39,"LEDESMA, Maria",DISEÑO Y COMUNICACIÓN TEORÍAS Y ENFOQUES CRÍTICOS,1,,1997,paidos estudios de comunicación,232,Gustavo Macri,950-12-2709-X,1,B,Biblioteca,False,,"LEDESMA. Maria. DISEÑO Y COMUNICACIÓN TEORÍAS Y ENFOQUES CRÍTICOS. 1 Edicion. Buenos aires, 1997. Editorial paidos estudios de comunicación. Pag. 232. Ilus. Gustavo Macri. ISBN. 950-12-2709-X."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-40,"SCHUIJL, Else",COMO HACER ADORNOS DE PAPEL. Ediciones ceac,,Barcelona,1995,ceac,44,,84-329-8366-7,1,B,Biblioteca,False,,"SCHUIJL. Else. COMO HACER ADORNOS DE PAPEL. Ediciones ceac. Barcelona, 1995. Editorial ceac. SA. Pag44. ISBN84-329-8366-7."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-41,"BAUMGARTNER, Peter","COMO HACER CAJAS Y LIBROS CARPETAS, ÁLBUMES DE FOTOS Y PAPELES DECORATICOS. Ediciones caleste",,Mmadrid,1996,celeste S,95,,84-8211-107-8,1,B,Biblioteca,False,,"BAUMGARTNER. Peter. COMO HACER CAJAS Y LIBROS CARPETAS, ÁLBUMES DE FOTOS Y PAPELES DECORATICOS. Ediciones caleste. Mmadrid, 1996. Editorial celeste S.A. Pag. 95. ISBN84-8211-107-8."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-42,"BARBIERI, Daniele",LOS LENGUAJES DEL CÓMIC,1,Barcelona,1993,"paidos, SAICF",285,Julio Vivas,84-7509-861-4,1,B,Biblioteca,False,,"BARBIERI. Daniele. LOS LENGUAJES DEL CÓMIC. 1 Edicion, Barcelona, 1993. Editorial paidos, SAICF. Pag. 285. Ilus. Julio Vivas. ISBN. 84-7509-861-4."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-43,"CONSTABLE, David",COMO HACER ARTESANÍA CON VELAS. Ediciones Celeste,,Madrid,1997,,80,Steve Pawsey,84-8211-109-4,1,B,Biblioteca,False,,"CONSTABLE. David. COMO HACER ARTESANÍA CON VELAS. Ediciones Celeste. Madrid,1997. Pag. 80. Ilus. Steve Pawsey. ISBN. 84-8211-109-4 ."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-44,"REINHARDT, Gunther",COMO HACER MUÑECOS DE GUIÑOL. Tercera edicion,,Barcelona,1933,,44,,84-392-8335-7,1,B,Biblioteca,False,,"REINHARDT. Gunther. COMO HACER MUÑECOS DE GUIÑOL. Tercera edicion. Barcelona, 1933. Editrial ceac. Pag. 44. ISBN. 84-392-8335-7"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-45,"PIÑANGO, Charo Y OTROS",CONSTRUCCIÓN DE JUGUETES CON MATERIAL DE DESECHO. Tercera edicion,,Madrid,1999,popular S,238,Marcelo Spotti,847884-210-1,1,B,Biblioteca,False,,"PIÑANGO. Charo Y OTROS. CONSTRUCCIÓN DE JUGUETES CON MATERIAL DE DESECHO. Tercera edicion. Madrid, 1999. Editorial popular S.A. Pag. 238. Ilus. Marcelo Spotti. ISBN. 847884-210-1"
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-46,"WATT, Fiona",200 IDEAS PARA PINTAR Y DIBUJAR,1,,,unborne,96,Amanda Barlau,7460-4506-9,1,B,Biblioteca,True,Sin año detectado,WATT. Fiona. 200 IDEAS PARA PINTAR Y DIBUJAR. Primera edicion. Editorial unborne. Pag. 96. Ilus. Amanda Barlau. ISBN. 7460-4506-9 .
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-47,"MANNERING, Douglas",LA VIDA Y OBRAS DE DEGAS,1,Bogota,1998,el sello,79,Robert Mathias,958-9260-32-2,1,B,Biblioteca,False,,"MANNERING. Douglas. LA VIDA Y OBRAS DE DEGAS. Primera edicion. Bogota,1998. Editorial el sello. Pag. 79. Ilus. Robert Mathias. ISBN. 958-9260-32-2."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-48,"HARRIS, Nathaniel",LA VIDA Y OBRAS DALI,1,,1994,el sello,79,Robert Mathias,1-85813-656-3,1,B,Biblioteca,False,,"HARRIS. Nathaniel. LA VIDA Y OBRAS DALI. 1 Edicion. Buenos aires, 1994. Editorial el sello. Pag. 79. Ilus. Robert Mathias. ISBN. 1-85813-656-3."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-49,"VAN Z, Eleanor",LA VIDA Y OBRAS DE GAUDI,1,,1995,el sello Pag,79,Kathy Lockley,950-9575-78-X,1,B,Biblioteca,False,,"VAN Z. Eleanor. LA VIDA Y OBRAS DE GAUDI. Primera edicion. Gran bretaña,1995. Editorial el sello Pag.79. Ilus. Kathy Lockley. ISBN. 950-9575-78-X."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-50,"JANICE, Anderson",LA VIDA Y OBRAS DE MODIGLIANI,1,,1996,el sello,79,Robet Mathias,950-9575-90-0,1,B,Biblioteca,False,,"JANICE. Anderson. LA VIDA Y OBRAS DE MODIGLIANI. Primera edicion. Buenos aires, 1996. Editorial el sello. Pag. 79. Ilus. Robet Mathias. ISBN. 950-9575-90-0."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-51,"DOESER, Linda",LA VIDA Y OBRAS DE PISSARRO,1,,1994,el sello,79,Robert Mathias,958-9260-34-9,1,B,Biblioteca,False,,"DOESER. Linda. LA VIDA Y OBRAS DE PISSARRO. 1 edicion . Gran bretaña,1994. Editorial el sello. Pag. 79. Ilus. Robert Mathias. ISBN. 958-9260-34-9."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-52,"JANICE, Anderson","LA VIDA Y OBRAS DE GOYA. Primera edicon. Gran bretaña, 1996",,,1996,el selo,79,,950-9575-79-8,1,B,Biblioteca,False,,"JANICE. Anderson. LA VIDA Y OBRAS DE GOYA. Primera edicon. Gran bretaña, 1996. Editorial el selo. Pag. 79. ISBN. 950-9575-79-8."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-53,,,1,,1995,el sello,79,Robert Mathias,950-9575-82-8,1,B,Biblioteca,True,Autor/título no identificado automáticamente,"HARRIS Nathaniel. LA VIDA Y OBRAS DE MIGUEL ANGEL. Primera edicion. Gran bretaña,1995. Editorial el sello. Pag. 79. Ilus. Robert Mathias. ISBN. 950-9575-82-8 ."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-54,"O'NEILL, Bekah",LA VIDA Y OBRAS DE KANDINSKY,1,,1995,el sello,79,Robert Mathias,950-9575-91-7,1,B,Biblioteca,False,,"O'NEILL. Bekah. LA VIDA Y OBRAS DE KANDINSKY. Primera edicion. Buenos aires, 1995. Editorial el sello. Pag. 79. Ilus. Robert Mathias. ISBN. 950-9575-91-7."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-55,"MORENO M, Arsenio",ZURBARÁN. Primera edicon,,Madrid,1999,electa,63,Agustina Fernandez,84-8156-208-4,1,B,Biblioteca,False,,"MORENO M. Arsenio. ZURBARÁN. Primera edicon. Madrid,1999. Editorial electa. Pag. 63. Ilus. Agustina Fernandez. ISBN. 84-8156-208-4 ."
